CRN,COURSE,COLL,CRED,DELIVERY,TITLE,PROFS,TERM,TIMEBLOCK,ROOM
54063,ANTH 111:11J,AR,3,Online-Scheduled Delivery,Intro to Physical Anth/Arch,"Fawcett, Clare",1ST,Z7/Z8,
54499,ANTH 111:12,AR,3,Online-Scheduled Delivery,Intro to Physical Anth/Arch,"Haller, Mikael",1ST,T3,
55766,ANTH 111:13,AR,3,Online-Scheduled Delivery,Intro to Physical Anth/Arch,"Fawcett, Clare",1ST,M1/M2,
54550,ANTH 111:20,AR,3,,Intro to Physical Anth/Arch,"Haller, Mikael",2ND,Z7/Z8,MULH4030
54549,ANTH 112:10,AR,3,In-Person,Socio-Cultural Anthropology,"McMillan, Leslie",1ST,Z7/Z8,SCHW156
54064,ANTH 112:21J,AR,3,,Socio-Cultural Anthropology,"Fawcett, Clare",2ND,Z7/Z8,BB305
54500,ANTH 112:22,AR,3,,Socio-Cultural Anthropology,"McMillan, Leslie",2ND,E6,BB236
55833,ANTH 112:23,AR,3,,Socio-Cultural Anthropology,"Jack, Meghann",2ND,M1/M2,MULH2070
55333,ANTH 234:10,AR,3,In-Person,Intro Indigenous Anthropology,"McMillan, Leslie",1ST,T1,BB337
55334,ANTH 253:20,AR,3,,Origins of Cities,"Haller, Mikael",2ND,E6,MULH3030
55836,ANTH 299:20,AR,3,,ST: Material Culture,"Jack, Meghann",2ND,X4/X5,MULH4034
55330,ANTH 303:20,AR,3,,Anthropological Theory,"Vincent, Susan",2ND,Z7/Z8,CO242
55335,ANTH 305:10,AR,3,Online-Scheduled Delivery,Anthropological Data Analysis,"Haller, Mikael",1ST,Z7/Z8,
55331,ANTH 320:10,AR,3,In-Person,People and Development,"Vincent, Susan",1ST,U4/U5,SCHW289
55336,ANTH 323:20,AR,3,,Feminist Anthropology,"Vincent, Susan",2ND,Z4/Z5,BB337
55338,ANTH 332:10,AR,3,In-Person,Mi'kmaq Studies,"McMillan, Leslie",1ST,T2,BB337
55339,ANTH 341:10,AR,3,Online-Scheduled Delivery,North American Archaeology,"Haller, Mikael",1ST,Z4/Z5,
48380,ANTH 400:00,AR,6,Online-No Scheduled Delivery,Honours Sem & Thesis Research,"Vincent, Susan",FULL,TBA,
55341,ANTH 435:20,AR,3,,Advanced Indigenous Issues,"McMillan, Leslie",2ND,E5,BB305
45147,APEX 100:10,AR,0,,Academic Program of Excellence,"Leeming, Mark",FULL,TBA,
55240,APEX 100:20,AR,0,,Academic Program of Excellence,"Leeming, Mark",2ND,TBA,
46405,APEX 200:00,AR,0,,Acad. Program of Excellence II,"Leeming, Mark",FULL,TBA,
46606,AQUA 100:00,SC,6,In-Person,Intro to Aquatic Resources,"MacInnis, Andrea",FULL,B1/B2/B3,BB237
41354,AQUA 100L:00,SC,0,In-Person,AQUA 100 Lab,"MacInnis, Andrea",FULL,W7,MULH3034
54268,AQUA 201:20,SC,3,,"Rivers, Lakes & Freshwater Gov","Clancy, Peter",2ND,Z1/Z2,MULH4034
54989,AQUA 325:20,SC,0,,Aquatic Resources Field Camp,"Garbary, David",2ND,TBA,
47255,AQUA 400:10,SC,3,In-Person,Work Exper/Student Internship,"Garbary, David",1ST,TBA,
51095,AQUA 450:00,SC,3,In-Person,Sen Seminar Aquatic Resources,"MacInnis, Andrea",FULL,J1,MULH4030
53493,ART 101:11,AR,3,In-Person,Introduction to Drawing I,"MacLean, Andy",1ST,F2/H2/R2,IM002
53494,ART 101:12,AR,3,Online-Scheduled Delivery,Introduction to Drawing I,"Tragakis, Adam",1ST,O7/W8,
53495,ART 101:13,AR,3,Online-Scheduled Delivery,Introduction to Drawing I,"Tragakis, Adam",1ST,U8/Z8,
53496,ART 101:14,AR,3,In-Person,Introduction to Drawing I,"Nicholson, Margaret",1ST,U7/W7,IM002
53497,ART 101:15,AR,3,Online-Scheduled Delivery,Introduction to Drawing I,"Brown-Georgallas, Kate",1ST,D3/E3/R3,
53498,ART 101:16,AR,3,In-Person,Introduction to Drawing I,"Nicholson, Margaret",1ST,X7/Z7,IM002
53499,ART 101:17,AR,3,In-Person,Introduction to Drawing I,"Tetu, Odile",1ST,U5/Z5,IM002
54757,ART 101:18,AR,3,In-Person,Introduction to Drawing I,"MacLean, Andy",1ST,T2,IM002
55317,ART 101:19,AR,3,In-Person,Introduction to Drawing I,"Lounsbury, Grant",1ST,E1/F1/R1,IM002
55716,ART 101:20,AR,3,In-Person,Introduction to Drawing I,"RT - TBA, A",1ST,U2/Z2,IM002
53502,ART 102:21,AR,3,,Introduction to Drawing II,"MacLean, Andy",2ND,E6,IM002
53503,ART 102:22,AR,3,,Introduction to Drawing II,"Tragakis, Adam",2ND,O7/W8,IM002
53504,ART 102:23,AR,3,,Introduction to Drawing II,"Tetu, Odile",2ND,U5/Z5,IM002
